hidden_level,hidden_fraction,split_seed,suite,prompt_count,sample_size_per_side,rejection_rate_alpha_0_05,fail_alpha_0_05,pvalue_mean,mmd_mean,aggregate_reject,adapter_dir,eval_dir,row_type
0,0.0,endpoint,wikipedia_en,25,250,0.34,False,0.20954,0.005809855783367148,False,,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,endpoint_u40
0,0.0,endpoint,humaneval,20,200,0.13,False,0.39556,0.00840924599063931,False,,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,endpoint_u40
0,0.0,endpoint,ultrachat,20,200,0.32,False,0.15907,0.010320636704698564,False,,artifacts/model_equality_section5/api_kl_tail_search_ultrachat_k3040_seed0/evals/api_met_kl_s150_w20_h20_u40,endpoint_u40
100,1.0,endpoint,wikipedia_en,25,250,1.0,True,0.0,0.06472014592570702,True,,artifacts/model_equality_section5/faithful_instruct_clean_poisoned_20260606_b64,endpoint_poisoned
100,1.0,endpoint,humaneval,20,200,0.61,True,0.08077999999999999,0.04554099521746952,True,,artifacts/model_equality_section5/faithful_instruct_clean_poisoned_20260606_b64,endpoint_poisoned
100,1.0,endpoint,ultrachat,20,200,1.0,True,1e-05,0.10055227177837057,True,,artifacts/model_equality_section5/faithful_instruct_clean_poisoned_20260606_b64,endpoint_poisoned
75,0.7384615384615385,0,wikipedia_en,18,180,0.3,False,0.16485999999999998,0.00886223098486786,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split000_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split000/hidden075/hidden,split
75,0.7384615384615385,0,humaneval,15,150,0.09,False,0.41717000000000004,0.006305071164599175,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split000_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split000/hidden075/hidden,split
75,0.7384615384615385,0,ultrachat,15,150,0.57,True,0.08574999999999999,0.025755437427569777,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split000_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split000/hidden075/hidden,split
75,0.7384615384615385,1,wikipedia_en,18,180,0.42,False,0.14086,0.009645735907722037,False,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split001_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split001/hidden075/hidden,split
75,0.7384615384615385,1,humaneval,15,150,0.06,False,0.44572999999999996,0.004010360627325077,False,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split001_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split001/hidden075/hidden,split
75,0.7384615384615385,1,ultrachat,15,150,0.47,False,0.11696999999999999,0.020697983830719607,False,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split001_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split001/hidden075/hidden,split
75,0.7384615384615385,2,wikipedia_en,18,180,0.4,False,0.14492,0.009185343662795007,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split002_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split002/hidden075/hidden,split
75,0.7384615384615385,2,humaneval,15,150,0.02,False,0.46478,0.0024687949731055574,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split002_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split002/hidden075/hidden,split
75,0.7384615384615385,2,ultrachat,15,150,0.6,True,0.10660999999999998,0.023526212125382497,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split002_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split002/hidden075/hidden,split
75,0.7384615384615385,3,wikipedia_en,18,180,0.43,False,0.14212999999999998,0.010007197987795076,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split003_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split003/hidden075/hidden,split
75,0.7384615384615385,3,humaneval,15,150,0.06,False,0.4419800000000001,0.004988108743311902,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split003_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split003/hidden075/hidden,split
75,0.7384615384615385,3,ultrachat,15,150,0.56,True,0.09601000000000001,0.02431761065932798,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split003_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split003/hidden075/hidden,split
75,0.7384615384615385,4,wikipedia_en,18,180,0.24,False,0.19672,0.00779805628834435,True,outputs/targeted_ft/prompt_conceal_w80_h80_u160_s150_split004_hidden075_seed0/adapter,artifacts/model_equality_section5/prompt_concealment_frontier_w80_h80_u160_s150_hidden075_seed0_4/evals/split004/hidden075/hidden,split
